ENT,NOM_ENT,TOT_VIV,VIV_REM,VIV_EMIG,VIV_CIRC,VIV_RET,IAIM,GAIM,POS_NAL
01,Aguascalientes,293237,4.81,2.55,1.63,3.13,3.03,Alto,11
02,Baja California,880905,3.70,1.05,0.47,3.39,2.15,Medio,17
03,Baja California Sur,186628,1.57,0.45,0.41,1.30,0.93,Muy bajo ,25
04,Campeche,214104,0.86,0.46,0.25,0.98,0.64,Muy bajo ,31
05,Chiapas,1085161,1.11,1.13,0.52,0.86,0.91,Muy bajo ,26
06,Chihuahua,951720,4.40,1.67,0.72,2.55,2.34,Medio,16
07,Coahuila de Zaragoza,736715,2.39,0.94,0.54,1.35,1.31,Bajo,23
08,Colima,181296,5.20,1.81,1.09,4.00,3.03,Alto,12
09,Distrito Federal,2450563,1.17,0.62,0.35,0.54,0.67,Muy bajo ,30
10,Durango,407712,6.52,2.40,1.34,3.27,3.38,Alto,7
11,Guanajuato,1288421,7.76,5.27,2.26,4.14,4.86,Muy alto,3
12,Guerrero,817148,6.62,3.25,0.96,3.44,3.57,Alto,5
13,Hidalgo,673645,4.33,3.47,1.64,3.98,3.36,Alto,8
14,Jalisco,1823973,5.41,2.19,1.30,2.83,2.93,Alto,13
15,México,3723607,1.55,1.04,0.62,1.08,1.07,Bajo,24
16,Michoacán de Ocampo,1083727,9.33,4.36,1.95,4.80,5.11,Muy alto,2
17,Morelos,475683,5.42,2.52,1.05,3.49,3.12,Alto,10
18,Nayarit,294582,9.16,2.11,2.29,4.03,4.40,Muy alto,4
19,Nuevo León,1216289,1.30,0.57,0.41,0.90,0.80,Muy bajo ,28
20,Oaxaca,936588,4.89,4.07,0.90,3.05,3.23,Alto,9
21,Puebla,1383205,3.80,3.04,1.05,2.08,2.49,Medio,15
22,Querétaro,455225,3.28,3.00,1.57,2.53,2.60,Medio,14
23,Quintana Roo,367731,1.22,0.48,0.26,0.83,0.70,Muy bajo ,29
24,San Luis Potosí,641184,6.58,3.06,1.34,3.17,3.54,Alto,6
25,Sinaloa,722719,3.26,1.02,0.66,1.83,1.69,Medio,22
26,Sonora,738568,2.67,1.07,0.69,2.68,1.78,Medio,20
27,Tabasco,574202,0.81,0.47,0.34,0.48,0.53,Muy bajo ,32
28,Tamaulipas,903173,3.06,1.22,0.74,2.19,1.80,Medio,19
29,Tlaxcala,276977,2.59,2.44,1.25,1.80,2.02,Medio,18
30,Veracruz de Ignacio de la Llave,2029023,2.53,1.75,0.83,1.92,1.76,Medio,21
31,Yucatán,505176,1.46,0.74,0.35,0.70,0.81,Muy bajo ,27
32,Zacatecas,377293,11.04,4.50,2.33,5.56,5.86,Muy alto,1
